#Identifier;DataSource;Alias;BelongsTo;Reason
#;Unicode stuff;;;
IBM950;ORACLE_JAVA;cp950;CP950;IBM950 and CP950 are not the same. Microsoft CP950 contains the euro sign, IBM950 does not.
CP950;MS;big5;;CP950 and Big5 are not the same. GNU ICONV distinguishes them.
Windows_950_2000;IBM_ICU;Big5;;Windows-950-2000 and Big5 are not the same. GNU ICONV distinguishes them.
Windows_950_2000;IBM_ICU;csBig5;;Windows-950-2000 and Big5 are not the same. GNU ICONV distinguishes them.
Windows_950_2000;IBM_ICU;windows-950;CP950;windows-950_2000 and windows-950 are not the same. Windows-950_2000 seems to be the successor of windows-950.
Windows_950_2000;ORACLE_JAVA;windows-950;CP950;windows-950_2000 and windows-950 are not the same. Windows-950_2000 seems to be the successor of windows-950.
MS950_HKSCS;IBM_ICU;Big5-HKSCS;;MS950_HKSCS and Big5-HKSCS are not the same.
MS950_HKSCS;IBM_ICU;big5-hkscs:unicode3.0;;MS950_HKSCS and big5-hkscs:unicode3.0 are not the same.
IBM5471;IBM_ICU;Big5-HKSCS;;This is not unique with Big5-HKSCS.
#;Japanese stuff;;;
Shift_JIS;GNU_ICONV;CP932;;Shift_JIS and CP932 are not the same. GNU ICONV, ICU and JAVA distuinguish them.
Shift_JIS;IBM_ICU;windows-31j;;Shift_JIS and Windows-31J are different, see IANA distinguishes them.
Shift_JIS;IBM_ICU;csWindows31J;;Shift_JIS and Windows-31J are different, see IANA distinguishes them.
Shift_JIS;IBM_ICU;ibm-943;;Shift_JIS and IBM943 are not the same. GNU ICONV and JAVA distuinguish them.
Shift_JIS;IBM_ICU;cp932;;Shift_JIS and CP932 are not the same. GNU ICONV, ICU and JAVA distuinguish them.
Shift_JIS;IBM_ICU;x-MS932_0213;MS932_0213;Microsoft version of Shift_JIS_X0213 seems to be newer than Shift_JIS.
Shift_JIS;IBM_ICU;x-JISAutoDetect;;Shift_JIS and x-JISAutoDetect are not the same. Java distinguishes them.
Shift_JIS;MS;cp932;;Shift_JIS and CP932 will be treated as different here. Different versions of Shift_JIS starting at 1978?
Shift_JIS_X0213;GNU_ICONV;SHIFT_JIS-2004;;Java Shift_JIS 2004 and java-sjis_0213-1.6_P are not the same. Java distinguishes them.
Shift_JIS_X0213;GNU_ICONV;SHIFTJIS2004;;Java Shift_JIS 2004 and java-sjis_0213-1.6_P are not the same. Java distinguishes them.
ISO_2022_JP;IBM_ICU;x-windows-50220;;ISO-2022-JP has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP;IBM_ICU;x-windows-iso2022jp;;ISO-2022-JP and x-windows-iso2022jp are not the same. Java distinguishes them.
ISO_2022_JP;ORACLE_JAVA;jis_encoding;;ISO-2022-JP has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP;ORACLE_JAVA;csjisencoding;;ISO-2022-JP has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP;ORACLE_JAVA;jis;;ISO-2022-JP has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP_1;IBM_ICU;x-windows-50221;;ISO-2022-JP-1 has little to do with Windows-50221, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP_1;IBM_ICU;JIS_Encoding;;ISO-2022-JP-1 has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
ISO_2022_JP_1;IBM_ICU;csJISEncoding;;ISO-2022-JP-1 has little to do with JIS_Encoding, IANA and JIS X 0202-1991 distinguish them.
EUC_JP;GNU_ICONV;CP51932;;EUC-JP and CP51932 are different, IANA distinguishes them.
EUC_JP;GNU_ICONV;IBM-EUCJP;;EUC-JP and IBM-EUCJP are not the same. ICU distinguishes them.
CP50220;MS;iso-2022-jp;;ISO-2022-JP and CP50220 are different, IANA distinguishes them.
CP50221;MS;csISO2022JP;;CP50221 and ISO-2022-JP are not the same.
CP51932;MS;euc-jp;;EUC-JP and CP51932 are different, IANA distinguishes them.
Windows_31J;ORACLE_JAVA;MS932;;CP932 and Windows-31J are different.
Windows_31J;ORACLE_JAVA;windows-932;;CP932 and Windows-31J are different.
EUC_JP_IBM;IBM_ICU;ibm-33722;;EUC_JP_IBM has nothing to do with IBM33722, see ICU.
EUC_JP_IBM;IBM_ICU;ibm-33722_VPUA;;EUC_JP_IBM has nothing to do with IBM33722, see ICU.
EUC_JP_IBM;IBM_ICU;ibm-5050;;EUC_JP_IBM has nothing to do with IBM33722, see ICU.
IBM939;IBM_ICU;ibm-931;IBM931;IBM939 and IBM931 are not the same. IBM939 seems to be the successor of IBM931.
#;Korean stuff;;;
KS_C_5601_1987;IBM_ICU;ibm-1363;;This is not unique with KS_C_5601-1987.
KS_C_5601_1987;IBM_ICU;ms949;;KS_C_5601-1987 and MS949 aka CP949 are not the same. GNU ICONV distinguishes them.
KS_C_5601_1987;IBM_ICU;windows-949;;KS_C_5601-1987 and windows-949 are not the same. GNU ICONV distinguishes them.
KS_C_5601_1987;MS;cp949;;KS_C_5601-1987 and CP949 are not the same. GNU ICONV distinguishes them.
EUC_KR;IBM_ICU;5601;;
EUC_KR;IBM_ICU;KSC_5601;;
EUC_KR;IBM_ICU;KS_C_5601-1987;;
EUC_KR;ORACLE_JAVA;ks_c_5601-1987;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
EUC_KR;ORACLE_JAVA;ksc_5601;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
EUC_KR;ORACLE_JAVA;ksc5601-1987;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
EUC_KR;ORACLE_JAVA;ksc5601_1987;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
EUC_KR;ORACLE_JAVA;ksc5601;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
EUC_KR;ORACLE_JAVA;5601;;KS_C_5601-1987 has little to do with EUC-KR, IANA and RFC1557 distinguish them.
IBM1373;IBM_ICU;windows-950;;
IBM1386;IBM_ICU;windows-936;;
JOHAB;GNU_ICONV;CP1361;Windows_1361;Windows-1361 and Johab are not the same.
Windows_1361;IBM_ICU;johab;JOHAB;Windows-1361 and Johab are not the same.
Windows_1361;IBM_ICU;x-Johab;JOHAB;Windows-1361 and Johab are not the same.
Windows_1361;ORACLE_JAVA;johab;JOHAB;Windows-1361 and Johab are not the same.
IBM943;IBM_ICU;Shift_JIS;;IBM943 and Shift_JIS are not the same. GNU ICONV and JAVA distuinguish them.
CP949C;IBM_ICU;ibm-949;;This is not unique with CP949C.
IBM1125;GNU_ICONV;IBM848;;This is not unique with IBM1125, see ICU character sets.
EUC_KR;GNU_ICONV;5601;;
CP949;GNU_ICONV;KSC5601;;
#;Language specific stuff;;;
ISCII_Devanagari;ORACLE_JAVA;iso-ir-153;;Indic Devanagari and russian GOST 19768-74 are definitely _not_ the same.
ISCII_Devanagari;ORACLE_JAVA;ST_SEV_358-88;;Indic Devanagari and russian GOST 19768-74 are definitely _not_ the same.
ISCII_Devanagari;ORACLE_JAVA;csISO153GOST1976874;;Indic Devanagari and russian GOST 19768-74 are definitely _not_ the same.
#;Platform specific stuff;;;
CP708;MS;ASMO-708;;Microsoft arabic code page DOS-708 and ISO-8859-6 are definitely _not_ the same.
HP_Turkish8;IBM_ICU;turkish8;;This is not unique with ISO-8859-9.
HP_Turkish8;GNU_ICONV;TURKISH8;;This is not unique with ISO-8859-9.
MacCyrillic;IBM_ICU;x-MacUkraine;;MacIntosh Cyrillic and Ukrainian are not the same.
